"procedure","code postal","lieu","nature","code CPV","dureeMois","acheteur/id","acheteur/nom","datePublicationDonnees","titulaires/0/denominationSociale","titulaires/0/id","titulaires/0/typeIdentifiant","id","type","formePrix","dateNotification","objet","montant","universally unique identifier (uuid)"
"Appel d'offres ouvert","42000","Saint-Etienne","Accord-cadre","45232410","12","24420077000117","Saint-Etienne Métropole","2020-03-17","Pacoret Version Originale","56207750300794","SIRET","2020SEM7201","Marché","Révisable","2020-03-13","Accord-cadre mono attributaire pour la réalisation de branchements et petits travaux de moins de 50 000 euros HT en réseaux humides.","32265.00","098DAF1D01974937E2D2810A26A00C9E"
"Appel d'offres ouvert","42000","Saint-Etienne","Accord-cadre","45232410","12","24420077000117","Saint-Etienne Métropole","2020-03-17","Pacoret Version Originale","31014531300014","SIRET","2020SEM7301","Marché","Révisable","2020-3-13","Accord-cadre mono attributaire pour la réalisation de branchements et petits travaux de moins de 50 000 euros HT en réseaux humides.","36891.00","0998CC17E753E1FBA673D7F8306D0391"
"Appel d'offres ouvert","42000","Saint-Etienne","Accord-cadre","45232410","12","24420077000117","Saint-Etienne Métropole","2020-03-17","SMTP","88725043900049","SIRET","20200SEM7400","Marché","Révisable","2020-03-13","Accord-cadre mono attributaire pour la réalisation de branchements et petits travaux de moins de 50 000 euros HT en réseaux humides.","17227.00","09AF93CC0467FFC2E14ADBF6AF6660FB"
"Appel d'offres ouvert","42000","Saint-Etienne","Accord-cadre","45232410","12","24420077000117","Saint-Etienne Métropole","2020-03-17","les travaux publics du jarez","39017279900020","SIRET","2020SEM7500","Marché","Révisable","2020-3-13","Accord-cadre mono attributaire pour la réalisation de branchements et petits travaux de moins de 50 000 euros HT en réseaux humides.","28840.00","0A2682AA9DA190B18A6C3B9D0187FB56"
"Procédure adaptée","69700","GIVORS","Accord-cadre","71356200","12","20003667100010","SMT AML","2021-07-12","setec its","43323036400047","SIRET","2021SMT0200","Marché","Ferme et actualisable","2021-07-12","Assistance à maîtrise d'ouvrage pour la réalisation d'un Plan d'actions « Mobilités Durables » des personnes pour le territoire de la Plaine Saint-Exupéry","40000.0",""
"Appel d'offres ouvert","42000","Saint-Etienne","Accord-cadre","45232410","12","24420077000117","Saint-Etienne Métropole","2020-03-17","FAURIE","33878625400023","SIRET","2020SEM7600","Marché","Révisable","2020-3-13","Accord-cadre mono attributaire pour la réalisation de branchements et petits travaux de moins de 50 000 euros HT en réseaux humides.","37400.00","0A35598CC2C8CC517BB007A8F24AAA27"
"Appel d'offres ouvert","42000","Saint-Etienne","Accord-cadre","45232410","12","24420077000117","Saint-Etienne Métropole","2020-03-17","SADE CGTH","56207750301172","SIRET","2020SEM7700","Marché","Révisable","2020-03-13","Accord-cadre mono attributaire pour la réalisation de branchements et petits travaux de moins de 50 000 euros HT en réseaux humides.","33769.00","0A3F5EA7B07CBB0CF64C168D546113DB"
"Appel d'offres ouvert","42000","Saint-Etienne","Accord-cadre","45232410","12","24420077000117","Saint-Etienne Métropole","2020-03-17","EUROVIA DALA","31797591000389","SIRET","2020SEM7800","Marché","Révisable","2020-3-13","Accord-cadre mono attributaire pour la réalisation de branchements et petits travaux de moins de 50 000 euros HT en réseaux humides.","32682.00","0A4FA890D993CCBEB12B989E87A92BCD"
"Appel d'offres ouvert","42000","Saint-Etienne","Accord-cadre","45232410","12","24420077000117","Saint-Etienne Métropole","2020-03-17","SADE CGTH","56207750301172","SIRET","2020SEM7900","Marché","Révisable","2020-3-13","Accord-cadre mono attributaire pour la réalisation de branchements et petits travaux de moins de 50 000 euros HT en réseaux humides.","42355.00","0A5A71F2B9A92273F601E2E98D00A6A0"
"Appel d'offres ouvert","42000","Saint-Etienne","Accord-cadre","45232410","12","24420077000117","Saint-Etienne Métropole","2020-03-17","FAURIE","33878625400023","SIRET","2020SEM8000","Marché","Révisable","2020-3-13","Accord-cadre mono attributaire pour la réalisation de branchements et petits travaux de moins de 50 000 euros HT en réseaux humides.","37400.00","0A729768BC59132C5559D4F024F17F30"
"Appel d'offres ouvert","42000","Saint-Etienne","Accord-cadre","45232410","12","24420077000117","Saint-Etienne Métropole","2020-03-17","CHOLTON","67450126700084","SIRET","2020SEM8100","Marché","Révisable","2020-3-13","Accord-cadre mono attributaire pour la réalisation de branchements et petits travaux de moins de 50 000 euros HT en réseaux humides.","30880.00","0A7FBC63AF02535ED65D874A97A00762"
"Appel d'offres ouvert","42000","Saint-Etienne","Accord-cadre","45232410","12","24420077000117","Saint-Etienne Métropole","2020-03-17","les travaux publics du jarez","39017279900020","SIRET","2020SEM8200","Marché","Révisable","2020-3-13","Accord-cadre mono attributaire pour la réalisation de branchements et petits travaux de moins de 50 000 euros HT en réseaux humides.","27411.00","0A8E1D39F57686A388CD135826A31F84"
"Procédure adaptée","42000","Saint-Etienne","Marché","79140000","18","24420077000117","Saint-Etienne Métropole","2020-03-02","KPMG EXPERTISE ET CONSEIL","42901223000034","SIRET","2020RH9700","Marché","Révisable","2020-03-02","Mission d'accompagnement à l'adaptation et la refonte du régime indemnitaire, ainsi qu'aux évolutions afférentes de gestion des ressources humaines.","42375.00","0BADC7ABE168D57C429AD6691F5421BF"
"Appel d'offres ouvert","42000","SAINT ETIENNE","Accord-cadre","71620000","12","24420077000117","Saint Etienne Métropole","2021-08-06","EC Ingénierie Expertise","82312464900026","SIRET","2021VO20700","Marché","Révisable","2021-08-05","Prestations de diagnostics préalables et d'assistances techniques","100000.0",""
"Appel d'offres ouvert","42000","SAINT ETIENNE","Accord-cadre","71620000","12","24420077000117","Saint Etienne Métropole","2021-08-06","EC Ingénierie Expertise","82312464900026","SIRET","2021VO20800","Marché","Révisable","2021-08-05","Prestations de diagnostics préalables et d'assistances techniques","100000.0",""
"Appel d'offres ouvert","42000","SAINT ETIENNE","Accord-cadre","71620000","12","24420077000117","Saint Etienne Métropole","2021-08-06","EC Ingénierie Expertise","82312464900026","SIRET","2021VO20900","Marché","Révisable","2021-08-05","Prestations de diagnostics préalables et d'assistances techniques","100000.0",""
"Appel d'offres ouvert","42000","SAINT ETIENNE","Accord-cadre","71620000","12","24420077000117","Saint Etienne Métropole","2021-08-06","EC Ingénierie Expertise","82312464900026","SIRET","2021VO21000","Marché","Révisable","2021-08-05","Prestations de diagnostics préalables et d'assistances techniques","100000.0",""
"Appel d'offres ouvert","42000","SAINT ETIENNE","Accord-cadre","34992200","12","24420077000117","Saint Etienne Métropole","2022-01-17","Lacroix City","40906598400018","SIRET","2021VO35100","Marché","Révisable","2022-01-14","Fourniture et pose de signalisation verticale directionnelle, touristique et police sur le périmètre de Saint-Etienne Métropole","1.1116E7",""
"Appel d'offres ouvert","42000","SAINT ETIENNE","Accord-cadre","34992200","12","24420077000117","Saint Etienne Métropole","2022-01-17","SIGNAUX GIROD S.A.","64605047600019","SIRET","2021VO35200","Marché","Révisable","2022-01-14","Fourniture et pose de signalisation verticale directionnelle, touristique et police sur le périmètre de Saint-Etienne Métropole","620000.0",""
"Appel d'offres ouvert","42000","SAINT ETIENNE","Accord-cadre","34992200","12","24420077000117","Saint Etienne Métropole","2022-01-17","SIGNAUX GIROD S.A.","64605047600019","SIRET","2021VO35300","Marché","Révisable","2022-01-14","Fourniture et pose de signalisation verticale directionnelle, touristique et police sur le périmètre de Saint-Etienne Métropole","484000.0",""
"Appel d'offres ouvert","42000","SAINT ETIENNE","Accord-cadre","34992200","12","24420077000117","Saint Etienne Métropole","2022-01-17","Lacroix City","40906598400018","SIRET","2021VO35400","Marché","Révisable","2022-01-14","Fourniture et pose de signalisation verticale directionnelle, touristique et police sur le périmètre de Saint-Etienne Métropole","260000.0",""
"Procédure adaptée","42000","SAINT ETIENNE","Marché","71335000","6","24420077000117","Saint-Etienne Métropole","2021-02-23","AGENCE MOSAIQUE ENVIRONNEMENT","41835343900023","SIRET","2021ASRI4600","Marché","Révisable","2021-02-23","Etude bilan et perspectives du contrat de rivière Gier et affluents","47450.00","10284313CC2111C17E9B835455C1B1C1"
"Procédure adaptée","42740","Rue des Tilleuls et rue de Saint-Just Doizieux","Marché","45232411","5","24420077000117","Saint-Etienne Métropole","2020-04-01","faurie","33878625400023","SIRET","2020EP12600","Marché","Révisable","2020-4-1","Renouvellement des réseaux humides et aménagement de voirie rue des Tilleuls et rue Saint-Just à Doizieux","291520.50","10B5D539FF5FF5782C6141DC808E7DEE"
"Appel d'offres ouvert","42000","SAINT ETIENNE","Accord-cadre","44161200","12","24420077000117","Saint-Etienne Métropole","2020-03-23","CHOLTON","67450126700084","SIRET","2020SEM8600","Marché","Révisable","2020-3-11","Accord-cadre multi attributaire de travaux de réseaux humides compris entre 50 000 et 200 000 euros HT.","126229.56","10F3D715DA80D9367723F7F5A00009E1"
"Procédure adaptée","42740","Rue des Tilleuls et rue de Saint-Just Doizieux","Marché","45232411","3","24420077000117","Saint-Etienne Métropole","2020-04-01","eurovia","31797591000223","SIRET","2020EP12700","Marché","Révisable","2020-3-31","Renouvellement des réseaux humides et aménagement de voirie rue des Tilleuls et rue Saint-Just à Doizieux","214858.30","1104EE1AEA30311C6A0886F6AD2E08FD"
"Appel d'offres ouvert","42000","SAINT ETIENNE","Accord-cadre","44161200","12","24420077000117","Saint-Etienne Métropole","2020-03-23","SDRTP","50242019300026","SIRET","2020SEM8700","Marché","Révisable","2020-3-11","Accord-cadre multi attributaire de travaux de réseaux humides compris entre 50 000 et 200 000 euros HT.","103914.00","1127BEA4A8C555B664896ACA27C09E95"
"Appel d'offres ouvert","42000","SAINT ETIENNE","Accord-cadre","44161200","12","24420077000117","Saint-Etienne Métropole","2020-03-23","BERNARD TP","34380296300029","SIRET","2020SEM8800","Marché","Révisable","2020-03-11","Accord-cadre multi attributaire de travaux de réseaux humides compris entre 50 000 et 200 000 euros HT.","125349.81","114FDAF9EE760823639813FE3CF279B6"
"Appel d'offres ouvert","42000","SAINT ETIENNE","Accord-cadre","44161200","12","24420077000117","Saint-Etienne Métropole","2020-03-23","les travaux publics du jarez","39017279900020","SIRET","2020SEM8900","Marché","Révisable","2020-3-11","Accord-cadre multi attributaire de travaux de réseaux humides compris entre 50 000 et 200 000 euros HT.","53916.00","11950C85D73F607A26018536068F6BD5"
"Appel d'offres ouvert","42000","SAINT ETIENNE","Accord-cadre","44161200","12","24420077000117","Saint-Etienne Métropole","2020-03-23","SMTP","88725043900049","SIRET","2020SEM9000","Marché","Révisable","2020-3-11","Accord-cadre multi attributaire de travaux de réseaux humides compris entre 50 000 et 200 000 euros HT.","53646.35","11B235310606EA269DFBEC8C92D7E298"
"Procédure adaptée","42000","Cité du Design (Platine)3 Rue Javelin Pagnon","Marché","45441000","2","24420077000117","Saint Etienne Métropole","2021-07-12","Vitrerie Stephanoise","88715018300036","SIRET","2021PATR18500","Marché","Ferme","2021-07-12","REMPLACEMENT DE VITRAGES AU NIVEAU DES FACADES DU BATIMENT PLATINE ET AU NIVEAU DES MODULES ZONE AGORA - SITE CITE DU DESIGN-ESADSE.","26719.0",""
"Appel d'offres ouvert","42000","SAINT ETIENNE","Marché","71335000","6","24420077000117","Saint-Etienne Métropole","2021-02-08","SETEC HYDRATEC","30139256900085","SIRET","2021ASRI300","Marché","Révisable","2021-2-5","Diagnostic d'assainissement  du système de collecte Furania","815190.00","1261F037E3FE6D34B359E523B272415D"
"Procédure adaptée","42700","Eglise Saint-Pierre - Rue des carrières - Quartier Firminy Vert","Marché","45331000","3","24420077000117","Saint Etienne Métropole","2021-08-16","ENGIE AXIMA","85480074501109","SIRET","2021PATR22100","Marché","Ferme et actualisable","2021-08-16","Remplacement du groupe froid pour l'Eglise Saint-Pierre à Firminy.","44030.37",""
"Procédure adaptée","42500","Carrefour des rues Schuman et Frachon,   Carrefour des rues Frachon et des eaux vives. 42500 LE CHAMBON FEUGEROLLES","Marché","45233140","7","24420077000117","Saint-Etienne Métropole","2020-03-17","TREMA","51365418600024","SIRET","2020VO12300","Marché","Révisable","2020-3-11","AMENAGEMENT DU CARREFOUR DES RUES SCHUMAN ET FRACHON ET LA CREATION D'UN GIRATOIRE - TRAVAUX DE RESEAUX  EAU POTABLE  ET ASSAINISSEMENT SUR LA COMMUNE DU CHAMBON FEUGEROLLES.","193506.10","14F04C679D33718AD16C71350572B587"
"Procédure adaptée","42500","Carrefour des rues Schuman et Frachon,   Carrefour des rues Frachon et des eaux vives. 42500 LE CHAMBON FEUGEROLLES","Marché","45233140","7","24420077000117","Saint-Etienne Métropole","2020-03-17","eurovia","31797591000223","SIRET","2020VO12400","Marché","Révisable","2020-3-11","AMENAGEMENT DU CARREFOUR DES RUES SCHUMAN ET FRACHON ET LA CREATION D'UN GIRATOIRE - TRAVAUX DE RESEAUX  EAU POTABLE  ET ASSAINISSEMENT SUR LA COMMUNE DU CHAMBON FEUGEROLLES.","319880.45","14FE17DCED270C455BEE3E562DEF4D53"
"Procédure adaptée","42000","Stade Geoffroy-Guichard   rue Paul et Pierre Guichard 42000 SAINT ÉTIENNE","Marché","71310000","18","24420077000117","Saint-Etienne Métropole","2021-03-15","COBALT","43413374000028","SIRET","2021DCAF5200","Marché","Révisable","2021-3-11","Marché de maîtrise d'oeuvre concernant le remplacement des écrans géants et la rénovation de l'éclairage du stade Geoffroy-Guichard","48000.00","15174B65BC5ACBEB51A93867BE455A5E"
"Procédure adaptée","42000","Stade Geoffroy-Guichard   rue Paul et Pierre Guichard 42000 SAINT ÉTIENNE","Marché","71310000","18","24420077000117","Saint-Etienne Métropole","2021-03-15","COBALT","43413374000028","SIRET","2021DCAF5300","Marché","Révisable","2021-3-11","Marché de maîtrise d'oeuvre concernant le remplacement des écrans géants et la rénovation de l'éclairage du stade Geoffroy-Guichard","72000.00","151BE762AE10416D4972F0008F3F0EE7"
"Procédure adaptée","42000","SAINT ETIENNE","Accord-cadre","71621000","12","24420077000117","Saint Etienne Métropole","2021-09-15","CPEV - COMPTAGES PROJETS ETUDES VOIRIE","50471947700029","SIRET","2021VO23700","Marché","Révisable","2021-09-14","Missions de comptages, d'analyse et de simulation dynamiques","200000.0",""
"Procédure adaptée","42800","Rive de Gier","Marché","45111100","1","24420077000117","Saint-Etienne Métropole","2020-03-17","FONT TRAVAUX PUBLICS MARTINAUD","35000176400025","SIRET","2020ASRI9500","Marché","Ferme et actualisable","2020-3-11","Travaux défrichage/désamiantage/démolition berges du Gier à Rive de Gier (rue Antoine marrel et rue Joseph Hemain)","24835.00","155A7C3FCADC95633D3260BCAF7282FA"
"Appel d'offres ouvert","42000","SAINT ETIENNE","Accord-cadre","45220000","12","24420077000117","Saint Etienne Métropole","2021-07-27","sas rozieres","32908636700037","SIRET","2021V018200","Marché","Révisable","2021-07-26","Travaux sur garde-corps et clôtures sur les ouvrages d'art et sur le patrimoine de Saint-Etienne Métropole","1156330.0",""
"Procédure adaptée","42000","SAINT ETIENNE","Accord-cadre","72250000","12","24420077000117","Saint-Etienne Métropole","2021-03-15","2H ENERGY","35392644700130","SIRET","2021GG4700","Marché","Révisable","2021-03-12","PRESTATIONS D'ENTRETIEN MAINTENANCE DU GROUPE ELECTROGENE DU STADE GEOFFROY-GUICHARD","40000.00","16CE9734D9D4E627C29D0C83F99F9C11"
"Procédure adaptée","42500","Carrefour de la rue des Fourches et de la route de Cotatay 42500 CHAMBON FEUGEROLLES","Marché","45221119","5","24420077000117","Saint-Etienne Métropole","2020-09-07","SARL ELLIPSE","44306698000048","SIRET","2020VO24100","Marché","Révisable","2020-9-7","Reprise du Pont des Fourches sur le Cotatay sur la commune du Chambon Feugerolles","160990.00","16F439F5B529E5AC64B2FC5476190E89"
"Appel d'offres ouvert","42000","SAINT ETIENNE","Accord-cadre","45220000","12","24420077000117","Saint Etienne Métropole","2022-03-01","NOUVETRA","31591977900027","SIRET","2022VO5200","Marché","Révisable","2022-02-28","Travaux de réparation sur ouvrages d'art des voies métropolitaines - Lot 1 : territoire du Furan (Loire)","1200000.0",""
"Procédure adaptée","42000","Bâtiments de Saint-Étienne Métropole","Accord-cadre","44115800","12","24420077000117","Saint-Etienne Métropole","2020-03-27","ENERGECO","40129103400049","SIRET","2020PATR10900","Marché","Révisable","2020-3-26","Travaux d'aménagement et de maintenance :<br />Climatisation-Ventilation-Chauffage / Plomberie dans les bâtiments de Saint-Etienne Métropole.","600000.00","18BF7252034ED9761B7AC8CC6D301A80"
"Procédure adaptée","42000","Bâtiments de Saint-Étienne Métropole","Accord-cadre","44115800","12","24420077000117","Saint-Etienne Métropole","2020-03-27","FERRARD & CIE","65450053700026","SIRET","2020PATR11000","Marché","Révisable","2020-3-25","Travaux d'aménagement et de maintenance :<br />Climatisation-Ventilation-Chauffage / Plomberie dans les bâtiments de Saint-Etienne Métropole.","400000.00","18C9F0F3E9DC959B128C92509DBB0DAE"
"Appel d'offres ouvert","42000","Saint-Etienne","Accord-cadre","77310000","12","24420077000117","Saint-Etienne Métropole","2020-03-12","VERT'AUTIS","85095318300017","SIRET","2020SEM1800","Marché","Révisable","2020-2-28","Prestations d'entretien des espaces verts sur les abords des voies métropolitaines et les espaces gérés par Saint-Etienne Métropole","100000.00","19BDCB6D074E7D806562AA4F8F856EE0"
"Appel d'offres ouvert","42000","Saint-Etienne","Accord-cadre","77310000","12","24420077000117","Saint-Etienne Métropole","2020-03-12","RIVOIRE","63450072200026","SIRET","2020SEM1900","Marché","Révisable","2020-03-09","Prestations d'entretien des espaces verts sur les abords des voies métropolitaines et les espaces gérés par Saint-Etienne Métropole","400000.00","19DD602AAE51DE0A6D83D602A0AA7187"
"Appel d'offres ouvert","42000","Saint-Etienne","Accord-cadre","77310000","12","24420077000117","Saint-Etienne Métropole","2020-03-12","RIVOIRE","63450072200026","SIRET","2020SEM2000","Marché","Révisable","2020-3-10","Prestations d'entretien des espaces verts sur les abords des voies métropolitaines et les espaces gérés par Saint-Etienne Métropole","100000.00","19F75943BC3BBCFBF0C5231036942A26"
"Appel d'offres ouvert","42000","Saint-Etienne","Accord-cadre","77310000","12","24420077000117","Saint-Etienne Métropole","2020-03-12","RIVOIRE","63450072200026","SIRET","2020SEM2100","Marché","Révisable","2020-2-28","Prestations d'entretien des espaces verts sur les abords des voies métropolitaines et les espaces gérés par Saint-Etienne Métropole","100000.00","1A09C50ABD72AA2FCF096BFA0E4275DE"
"Appel d'offres ouvert","42000","Saint-Etienne","Accord-cadre","77310000","12","24420077000117","Saint-Etienne Métropole","2020-03-12","RIVOIRE","63450072200026","SIRET","2020SEM2200","Marché","Révisable","2020-02-28","Prestations d'entretien des espaces verts sur les abords des voies métropolitaines et les espaces gérés par Saint-Etienne Métropole","100000.00","1A148739D450ED44C34C3ABD9830BA38"
"Procédure adaptée","42000","Rue du Colonel Marey","Marché","71317210","24","24420077000117","Saint Etienne Métropole","2022-03-08","SP2SE","51825583100043","SIRET","2022DCAF8600","Marché","Révisable","2022-03-07","Marché de Coordination en matière de Sécurité et Protection de la Santé pour la patinoire métropolitaine de Saint Etienne","37823.5",""
"Procédure négociée avec mise en concurrence préalable","42800","SAINT JOSEPH","Accord-cadre","65111000","6","24420077000117","Saint-Etienne Métropole","2020-03-12","CHOLTON","67450126700084","SIRET","2020EP11100","Marché","Révisable","2020-3-12","Accord-cadre pour l'exploitation des réseaux et ouvrages de distribution d'eau potable, gestion et facturation des abonnés sur les communes de Saint Joseph et de Saint Martin la Plaine","310978.84","1BBECEABD2C9242E1EFB2C387AAAD14F"
"Procédure adaptée","42000","Divers secteurs de Saint-Etienne 42000 SAINT ETIENNE","Marché","45233000","5","24420077000117","Saint-Etienne Métropole","2020-04-06","eurovia","31797591000223","SIRET","2020ACT6200","Marché","Ferme et actualisable","2020-02-19","TRAVAUX DE VOIRIE 2020 SUR LA COMMUNE DE SAINT-ETIENNE","696423.96","1BDB255FC34DDF523673541FB3F37842"
"Procédure adaptée","42000","Divers secteurs de Saint-Etienne 42000 SAINT ETIENNE","Marché","45233000","5","24420077000117","Saint-Etienne Métropole","2020-04-06","COLAS RHONE-ALPES AUVERGNE","32939379700066","SIRET","2020ACT6300","Marché","Ferme et actualisable","2020-02-20","TRAVAUX DE VOIRIE 2020 SUR LA COMMUNE DE SAINT-ETIENNE","598303.75","1BFE6E5FF972402FB77E646E88F2AFB4"
"Procédure adaptée","42000","Divers secteurs de Saint-Etienne 42000 SAINT ETIENNE","Marché","45233000","5","24420077000117","Saint-Etienne Métropole","2020-04-06","COLAS RHONE-ALPES AUVERGNE","32939379700066","SIRET","2020ACT6400","Marché","Ferme et actualisable","2020-02-20","TRAVAUX DE VOIRIE 2020 SUR LA COMMUNE DE SAINT-ETIENNE","534681.70","1C1AC3C9CF155F7BD2C1F45449705FEB"
"Procédure adaptée","42000","Divers secteurs de Saint-Etienne 42000 SAINT ETIENNE","Marché","45233000","3","24420077000117","Saint-Etienne Métropole","2020-04-06","eurovia","31797591000223","SIRET","2020ACT6500","Marché","Ferme et actualisable","2020-02-19","TRAVAUX DE VOIRIE 2020 SUR LA COMMUNE DE SAINT-ETIENNE","507787.52","1C255DE6DE55D173E168D8B55C69AF61"
"Procédure adaptée","42000","Divers secteurs de Saint-Etienne 42000 SAINT ETIENNE","Marché","45233000","3","24420077000117","Saint-Etienne Métropole","2020-04-06","STAL TP","96250299300026","SIRET","2020ACT6600","Marché","Ferme et actualisable","2020-02-19","TRAVAUX DE VOIRIE 2020 SUR LA COMMUNE DE SAINT-ETIENNE","320223.50","1C2FA824A8E551895F4FFA019BC26F55"
"Procédure adaptée","69700","GIVORS","Accord-cadre","71300000","24","20003667100010","Syndicat Mixte de Transports pour l'Aire Métropolitaine","2020-10-02","KISIO Services et Consulting","49160867500394","SIRET","2020SMT0300","Marché","Révisable","2020-10-2","ACCORD CADRE D'ETUDES POUR L'EXTENSION DE LA TARIFICATION MULTIMODALE ZONALE « T-LIBR » SUR LE PERIMETRE DE L'AIRE METROPOLITAINE LYONNAISE","190000.00","1C4A464FF9AEAF6D762B856B8422AE32"
"Procédure adaptée","42000","SAINT ETIENNE","Marché","71356200","48","24420077000117","Saint-Etienne Métropole","2021-01-29","SOBERCO ENVIRONNEMENT","40514454400013","SIRET","2021DD1400","Marché","Révisable","2021-1-29","INTÉGRATION DE LA PRISE EN COMPTE DE LA BIODIVERSITÉ ET LA TRAME VERTE ET BLEUE DANS LES PROJETS AMÉNAGEMENT ET DE CONSTRUCTION.","34300.00","1F929027F63418298F58942D931CAD5A"
"Appel d'offres ouvert","42272","Le lieu de livraison est TRANSPOLE STAS, 1 rue Pierre Mendès FRANCE Saint-Priest en JAREZ 42272","Marché","34211100","36","24420077000117","Saint Etienne Métropole","2022-01-17","SAFRA","08552019500034","SIRET","2021TM37200","Marché","Révisable","2022-01-14","Rénovation de bus standards Diesel de 2012","245218.0",""
"Appel d'offres ouvert","42272","Le lieu de livraison est TRANSPOLE STAS, 1 rue Pierre Mendès FRANCE Saint-Priest en JAREZ 42272","Marché","34211100","36","24420077000117","Saint Etienne Métropole","2022-01-17","BACQUEYRISSES CARS & BUS","53316606200026","SIRET","2021TM37300","Marché","Révisable","2022-01-14","Rénovation de bus standards Diesel de 2012","221086.0",""
"Appel d'offres ouvert","42272","Le lieu de livraison est TRANSPOLE STAS, 1 rue Pierre Mendès FRANCE Saint-Priest en JAREZ 42272","Marché","34211100","36","24420077000117","Saint Etienne Métropole","2022-01-17","ntts","35345482000021","SIRET","2021TM37400","Marché","Révisable","2022-01-14","Rénovation de bus standards Diesel de 2012","218100.0",""
"Appel d'offres restreint","42000","Cité du design et l'Ecole Supérieure d'Arts et de Design de Saint-Etienne 2 rue Javelin Pagnon","Marché","71250000","26","24420077000117","Saint Etienne Métropole","2022-03-23","ARCHITECTURE BERGER DOMINIQUE","38081616500027","SIRET","2022DCAF9800","Marché","Révisable","2022-03-23","Marché de maîtrise d'oeuvre pour la création d'un nouveau siège administratif pour la Cité du design","191730.0",""
