X;Y;osm_id;type;name;operator;opening_hours;phone;email;com_insee;com_nom
4.6250257;45.5219554004101;node/6276770531;townhall;Mairie de Châteauneuf;;"Mo-Th 08:30-12:30; Fr 08:30-12:30,13:00-17:30";33477750793;mairie@mairiedechateauneuf.fr;42053;Châteauneuf
4.5381777;45.4737075004161;node/6278106298;government;Centre Technique Communautaire du Gier - Saint-Etienne Métropole (Saint-Chamond);;;;;42207;Saint-Chamond
4.5862741;45.4270959004219;node/6288788886;townhall;Mairie Doizieux;;;33477209562;mairie.doizieux@wanadoo.fr;42085;Doizieux
4.3772447;45.4855459004146;node/6293370897;townhall;Mairie L'Etrat;;Mo-Fr 09:00-12:00,14:00-16:00;33477913131;etrat.mairie@orange.fr;42092;L'Etrat
4.3181306;45.5003520004128;node/6301126519;townhall;Mairie La Fouillouse;;Mo-Fr 08:00-12:30,13:30-18:00;33477301034;mairie@lafouillouse.fr;42097;La Fouillouse
4.2691248;45.3881357004266;node/6301275190;townhall;Mairie Fraisses;;;33477405640;contact@fraisses.fr;42099;Fraisses
4.6709023;45.4655103004171;node/6315724903;townhall;Mairie Pavezin;;Tu,Fr 14:00-17:00;33477202039;mairie.de.pavezin@wanadoo.fr;42167;Pavezin
4.3829602;45.4359656004208;node/6323319939;government;Maison des projets Tarentaize Beaubrun Couriot;;;;;42218;Saint-Etienne
4.3660672;45.4042078004246;node/6337194405;townhall;Mairie La Ricamarie;;"Mo-Th 08:15-12:00,13:30-17:00; Fr 08:15-12:00,13:30-15:45";33477810400;mairie@ville-la-ricamarie.fr;42183;La Ricamarie
4.3732791;45.5292739004091;node/6345219049;townhall;Mairie Saint-Héand;;"Mo-Fr 09:00-12:00,14:00-17:30; Tu 09:00-12:00,14:00-19:00";33477304123;mairie@saint-heand.fr;42234;Saint-Héand
4.4445878;45.4492205004192;node/6347142460;townhall;Hotel de Ville Saint-Jean-Bonnefonds;;;33477950703;contact@ville-st-jean-bonnefonds.fr;42237;Saint-Jean-Bonnefonds
4.1814417;45.4035032004247;node/6347782795;townhall;Mairie Saint-Maurice-en-Gourgois;;"Mo-Th 09:00-12:00,14:00-18:00; We off; Fr 14:00-18:00; Sa 09:00-12:00";33477503012;accueil@saint-maurice-en-gourgois.fr;42262;Saint-Maurice-en-Gourgois
4.4495841;45.490716000414;node/6353947596;townhall;Mairie Soribiers;;"Mo-Th 08:30-12:00,13:30-17:00; Fr 08:30-12:00,13:30-16:30; Sa 09:00-12:00";33477011130;;42302;Sorbiers
4.3868711;45.4856839004146;node/6359999101;townhall;Mairie La-Tour-en-Jarez;;Mo-Sa 08:30-12:00;33477932341;mairie-tour-en-jarez@wanadoo.fr;42311;La Tour-en-Jarez
4.2614902;45.3996839004252;node/6360138300;townhall;Hotel de Ville Unieux;;"Mo-Th 08:00-12:00,13:30-17:30; Fr 08:00-12:00,13:30-16:30";33477403080;;42316;Unieux
4.4850849;45.4594715004179;node/6497172615;government;Direction Interdépartementale Routes Centre Est;;;;;42207;Saint-Chamond
4.5349549;45.4676068004169;node/6527838909;government;Conseil Général de la Loire - Développement Durable;;;;;42207;Saint-Chamond
4.3888892;45.4392837004204;node/6579645040;government;Maison du Projet;Ville de Saint-Etienne;"Tu-Fr 11:00-19:00; Sa 11:00-18:30";;;42218;Saint-Etienne
4.4092833;45.4532035004187;node/6900916535;government;Centre régional de dédouanement;;;;;42218;Saint-Etienne
4.3984343;45.4402837004202;node/7067353699;government;EPORA Saint-Etienne;;;+334 77 47 47 50;;42218;Saint-Etienne
4.4079499;45.4249830004221;node/7182685837;government;Centre des finances publiques;;Mo-Fr 08:30-12:00;;;42218;Saint-Etienne
4.2861249;45.5308027004089;node/7259543418;government;Philibert autocars  Andrézieux-Bouthéon;;Mo-Fr 08:00-12:00, 14:00-18:00;-477022072;;42005;Andrézieux-Bouthéon
4.3270502;45.4331017004211;node/7335459334;townhall;;;;;;42189;Roche-la-Molière
4.646367;45.4792996004154;node/778673060;townhall;Mairie Sainte-Croix-en-Jarez;;Mo,Th 14:00-17:30;33477202001;mairie.sc@wanadoo.fr;42210;Sainte-Croix-en-Jarez
4.3992961;45.4403854004202;node/7829580271;government;Centre des Impôts Saint-Etienne;;;;;42218;Saint-Etienne
4.3990628;45.4401388004203;node/7829580272;government;Direction Départementale des Territoires;;;;;42218;Saint-Etienne
4.5265443;45.4815038004152;node/8480258506;government;Inspection de l'Education Nationale;;"Mo,Tu,Th,Fr 07:45-12:15,13:30-17:00; We 07:45-12:00";+33 4 77 22 61 86;ce.0420954j@ac-lyon.fr;42207;Saint-Chamond
4.392736;45.4214598004225;node/8967700384;government;Centre des Finances Publiques;;Mo-Fr 08:30-12:30;33 477 818 779;;42218;Saint-Etienne
4.38667595118228;45.4423866408419;relation/1000783;government;Préfecture de la Loire;;;;;42218;Saint-Etienne
4.38166039904464;45.439805045805;relation/1000784;government;Département de la Loire;;;;;42218;Saint-Etienne
4.3844629183638;45.4400593380573;relation/1000787;government;Banque de France;;;;;42218;Saint-Etienne
4.38728788349846;45.4401804296624;relation/5201020;townhall;Hotel de Ville;Ville de Saint-Etienne;;;;42218;Saint-Etienne
4.56950596906338;45.5039816548946;way/145779422;townhall;Hotel de Ville La Grand-Croix;;;33477732243;mairie-de-grand-croix@wanadoo.fr;42103;La Grand-Croix
4.32898660396023;45.5433547699273;way/176082396;public_building;;;;;;42206;Saint-Bonnet-les-Oules
4.32953991816294;45.5378929554153;way/176179594;public_building;;;;;;42206;Saint-Bonnet-les-Oules
4.37361081213661;45.5295774455808;way/177136421;public_building;Salle Bouthieu;;;;;42234;Saint-Héand
4.37236003923158;45.524899405448;way/177136585;public_building;Salle de Condelouse;;;;;42234;Saint-Héand
4.55364738292255;45.5346508045538;way/181623668;townhall;Mairie de Chagnon;;;;;42036;Chagnon
4.32165681205303;45.3961792868811;way/213112975;public_building;Salle Antoine Vachon;;;;;42044;Le Chambon-Feugerolles
4.51268681584954;45.4760641808539;way/52982638;townhall;Mairie de Saint-Chamond;;"Mo-Fr 08:30-12:00,13:30-17:30; Sa 08:30-12:00";33477310505;;42207;Saint-Chamond
4.26052286840608;45.4456566488898;way/62803457;townhall;Mairie de Saint-Victor sur Loire;;;;;42218;Saint-Etienne
4.38545515731904;45.4378539343302;way/63255155;government;Direction départementale des finances publiques de la Loire;;;;;42218;Saint-Etienne
4.38704126208556;45.4434768021283;way/63255920;government;Département de la Loire;;;;;42218;Saint-Etienne
4.38025420834575;45.4400402622169;way/63293809;government;Département de la Loire;;;;;42218;Saint-Etienne
4.39178889164447;45.425464237753;way/63320983;diplomatic;Consulat d'Algérie;;Tu-Sa 08:30-15:00;+33 4 77 59 31 41;;42218;Saint-Etienne
4.38146085595935;45.4372616188815;way/63330270;government;Centre administratif Municipal Tarentaize;Ville de Saint-Etienne;;;;42218;Saint-Etienne
4.38750865298395;45.4419559590431;way/63330509;government;Immeuble de La Loire Républicaine;;;;;42218;Saint-Etienne
4.40366509874332;45.4414510748604;way/636357983;government;Caisse d'Allocations Familiales de la Loire;Caisse d'Allocations Familiales;"Mo-Th 08:30-16:30; Fr 08:30-16:00";;;42218;Saint-Etienne
4.44160318778994;45.443445595885;way/65633304;public_building;Centre technique municipal de Saint-Jean-Bonnefonds;;;;;42237;Saint-Jean-Bonnefonds
4.37790039040994;45.4681400018555;way/65638368;government;Siel Saint-Priest-en-Jarez;;;;;42275;Saint-Priest-en-Jarez
4.38499615334976;45.4652675966814;way/863187801;government;Service départemental d'incendie et de secours de la Loire;SDIS 42;;+33 4 77 91 08 00;;42218;Saint-Ã‰tienne
4.32281175912568;45.3958922200523;way/86506271;public_building;Commissariat subdivisionnaire d'Ondaine;;;;;42044;Le Chambon-Feugerolles
4.32142624762971;45.3963624532613;way/86512291;public_building;Salle Louis Aragon;;;;;42044;Le Chambon-Feugerolles
4.32779216834236;45.3917167475554;way/86514799;public_building;Acti'MÃ´mes;;;;;42044;Le Chambon-Feugerolles
4.32415753858796;45.3948682327196;way/86517782;public_building;Pôle de services;;;;;42044;Le Chambon-Feugerolles
4.3236548100573;45.3964914443664;way/86519387;public_building;Ensemble halles-boulodrome AndrÃ© Cognet;;;;;42044;Le Chambon-Feugerolles
